,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
0,0.739186,0.736889,0.725462,0.665355,0.557612,0.620514,0.706366,0.785381,0.767972,0.721132,0.821648,0.742401,0.736687,0.85938,0.746709,0.853779,0.802862,0.822676,0.73778,0.673245,0.701414,0.809795,0.733277,0.825324,0.807998,0.755697,0.765624,0.740542,0.855079,0.928647,0.850253,0.887848,0.913168,0.93357,0.915123,0.791261,0.829681,1.005332,0.957235,0.801227,0.776936,0.872903,0.663779
1,0.5342341,0.5517748,0.5936452,0.6521536,0.6610734,0.563714,0.602552,0.8166678,0.6319153,0.5814154,0.5547549,0.6161474,0.6001627,0.5862706,0.6372374,0.5565037,0.6252587,0.5400791,0.5161911,0.5197038,0.5231085,0.4988525,0.559387,0.49041,0.5372243,0.5758012,0.4838396,0.6022784,0.5947857,0.6790206,0.6945653,0.6838941,0.6044475,0.6128723,0.5553956,0.4911681,0.4181247,0.5423962,0.630383,0.5742419,0.5536633,0.4893553,0.6346547
2,0.325814,0.3192985,0.354094,0.3679216,0.3546192,0.3145244,0.2836635,0.4030087,0.3708953,0.354746,0.2840307,0.3045422,0.326723,0.2846872,0.3159837,0.2657807,0.2695212,0.2746535,0.2714242,0.2996101,0.2797396,0.3150677,0.3264254,0.3210455,0.3431987,0.3116792,0.2429859,0.3198294,0.3583751,0.351189,0.3892282,0.4066698,0.3454875,0.3675288,0.3380562,0.2844123,0.2736171,0.3270804,0.3292522,0.3451292,0.3376491,0.315254,0.350302
3,0.291691,0.260795,0.2718731,0.3031368,0.2981902,0.2872089,0.2416064,0.304475,0.3151109,0.3098847,0.2349858,0.2547347,0.2045197,0.213216,0.233383,0.2064514,0.2253279,0.2135864,0.2383287,0.2410741,0.2112361,0.2264541,0.2380727,0.2423322,0.2714418,0.2129765,0.2135508,0.2375452,0.2499446,0.2125643,0.3208018,0.3051473,0.2924025,0.3139772,0.3009235,0.2604406,0.2390995,0.2943672,0.272652,0.2657356,0.2856721,0.2728843,0.3015225
4,0.2780081,0.2379263,0.2364939,0.2397865,0.25765,0.2518887,0.2247919,0.2702883,0.2696661,0.2554493,0.2155567,0.2230917,0.1908636,0.1786098,0.1818206,0.17363976,0.2001666,0.1925317,0.1945361,0.2010239,0.1924667,0.2206033,0.2221244,0.2151927,0.2302013,0.203489,0.1768802,0.17449161,0.2102294,0.1955131,0.2533881,0.2413736,0.2597977,0.2610058,0.2723041,0.25185,0.2345049,0.2581786,0.2656097,0.26072,0.257294,0.2569174,0.2928964
5,0.2531473,0.2294145,0.2175497,0.2193033,0.231191,0.2319726,0.2127051,0.2467081,0.2266815,0.2353046,0.1950627,0.1969755,0.1818601,0.175686,0.1815902,0.16319612,0.1867041,0.1761015,0.1779526,0.17224065,0.17093113,0.1994186,0.2045066,0.17746389,0.2110611,0.1908568,0.1736286,0.15929812,0.1802915,0.17492826,0.2357248,0.2293984,0.2406993,0.2384212,0.2425114,0.2280871,0.2219976,0.248774,0.2460563,0.2389155,0.2530806,0.2432397,0.2703777
6,0.247225,0.2153024,0.2082342,0.198911,0.2225019,0.2166749,0.1946107,0.2180002,0.2201081,0.2031831,0.1859216,0.1799739,0.1697326,0.16530447,0.16797301,0.16038602,0.1701327,0.1642237,0.16107286,0.15393133,0.15654612,0.19022869,0.16596792,0.16603837,0.1743442,0.16845535,0.15679056,0.15508892,0.1712779,0.16362156,0.2235934,0.1966554,0.224724,0.2168533,0.2175461,0.2102265,0.2127433,0.2425945,0.222871,0.2359199,0.2337361,0.2382591,0.2592094
7,0.2389709,0.2100183,0.2031191,0.1944051,0.2170682,0.2041412,0.1864659,0.2094212,0.1983108,0.1969882,0.1766472,0.1737442,0.16251439,0.15751293,0.16170923,0.14636213,0.16250004,0.15916634,0.1503933,0.14800369,0.15654612,0.1791472,0.16596792,0.15345976,0.16011672,0.16001867,0.15403099,0.15508892,0.171495,0.15594087,0.2027661,0.18092071,0.2038289,0.2021962,0.1984217,0.2013587,0.2077372,0.2314397,0.2162713,0.2219235,0.2337361,0.2355836,0.2471534
8,0.2386668,0.2078005,0.2031191,0.1923622,0.2170682,0.2041412,0.1864438,0.2094212,0.1983108,0.1917059,0.1765958,0.17172822,0.16251439,0.15231143,0.15776008,0.14636213,0.16250004,0.16426224,0.1503933,0.14583204,0.14769376,0.150819,0.15675314,0.15125446,0.15816012,0.15964373,0.14060639,0.15281112,0.1789517,0.16098867,0.2027661,0.17342666,0.1941357,0.1932855,0.1955874,0.1969902,0.2013604,0.2164159,0.2022171,0.2088951,0.2216128,0.2290598,0.240383
9,0.2359459,0.2077808,0.2031191,0.1989383,0.2170649,0.2019987,0.1864438,0.2094109,0.1920942,0.1917059,0.1729656,0.17861902,0.16251439,0.13848655,0.15107418,0.1336044,0.14109584,0.14923614,0.14147229,0.13033104,0.14549219,0.14818935,0.15427544,0.14236796,0.13319756,0.14692455,0.12770905,0.14056749,0.15612485,0.15402237,0.1875765,0.18869936,0.1897924,0.1997002,0.1837483,0.1882266,0.1990807,0.2161488,0.1949993,0.2080369,0.2151068,0.2231283,0.2330648
